Profissional   |     Data                     |     Linha     |     Função                                |     Classe                                  |     URL                                                                             |     Arquivo                                                                         |     Mensagem                                          
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
               |     2011-07-04 10:28:29      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 10:30:54      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 10:31:15      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 10:44:01      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 10:44:20      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 10:46:27      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 10:50:50      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 10:51:09      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 10:51:26      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 10:51:49      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 11:04:03      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 11:06:47      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
               |     2011-07-04 11:12:16      |     305       |     _authenticateCreateSelect             |     Zend_Auth_Adapter_DbTable               |     /oasis/auth                                                                     |     /var/www/oasis/library/Zend/Auth/Adapter/DbTable.php                            |     O nome do Servidor esta ínvalido                 
2              |     2011-07-04 14:21:02      |     13        |     runApp                                |     Bootstrap                               |     /oasis/solicitacao-servico-service-desk/editar                                  |     /var/www/oasis/public/index.php                                                 |     Action "editar" does not exist and was not trapped in __call()
