Profissional   |     Data                     |     Prioridade     |     Tabela                                            |     Controller                                        |     IP                                                 |     Host                                               |     Mensagem  
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
2              |     2012-01-02 14:47:34      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-04 08:32:28      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-04 09:44:45      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-04 11:15:43      |     8              |     s_custo_demanda_por_metrica                       |     custo-contrato-demanda                            |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_custo_demanda_por_metrica = 1 cd_contrato = 15 ni_mes = 1 ni_ano = 2012 
2              |     2012-01-04 14:09:18      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-04 16:29:29      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-05 07:50:41      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-05 09:52:14      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-06 09:05:57      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-06 10:11:55      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-06 10:21:51      |     8              |     s_custo_demanda_por_metrica                       |     custo-contrato-demanda                            |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_custo_demanda_por_metrica = 2 cd_contrato = 15 ni_mes = 1 ni_ano = 2012 
2              |     2012-01-06 10:26:11      |     8              |     s_custo_demanda_por_metrica                       |     custo-contrato-demanda                            |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_custo_demanda_por_metrica = 3 cd_contrato = 15 ni_mes = 1 ni_ano = 2012 
2              |     2012-01-06 10:27:20      |     8              |     s_custo_demanda_por_metrica                       |     custo-contrato-demanda                            |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_custo_demanda_por_metrica = 4 cd_contrato = 15 ni_mes = 1 ni_ano = 2012 
2              |     2012-01-06 10:46:41      |     8              |     s_custo_demanda_por_metrica                       |     custo-contrato-demanda                            |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_custo_demanda_por_metrica = 5 cd_contrato = 15 ni_mes = 1 ni_ano = 2012 
2              |     2012-01-06 16:01:06      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-09 22:15:50      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-10 09:36:17      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-10 09:36:30      |     9              |     a_profissional_objeto_contrato                    |     inicio                                            |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro:  cd_profissional = 2 
	               and cd_objeto   = 14 
2              |     2012-01-10 09:55:53      |     9              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "b_menu"."cd_menu" = 133.000000
2              |     2012-01-10 09:57:06      |     8              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_menu = 322
2              |     2012-01-10 09:57:33      |     8              |     a_profissional_menu                               |     objeto-perfil-profissional                        |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_objeto = 14 cd_profissional = 2 cd_menu = 322 
2              |     2012-01-10 09:58:02      |     9              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "b_menu"."cd_menu" = 322.000000
2              |     2012-01-10 10:00:08      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
0              |     2012-01-10 15:28:10      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-11 08:56:31      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-11 10:35:53      |     9              |     s_contrato                                        |     contrato                                          |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "s_contrato"."cd_contrato" = 15.000000
2              |     2012-01-11 10:37:24      |     8              |     s_extrato_mensal                                  |     fechamento-extrato-mensal                         |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_contrato = 15 ni_mes_extrato = 1 ni_ano_extrato = 2012 
2              |     2012-01-11 12:36:33      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-11 15:22:27      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-12 08:20:51      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-12 10:13:10      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-12 10:19:24      |     8              |     b_menu                                            |     menu                                              |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_menu = 323
2              |     2012-01-12 10:21:57      |     8              |     a_profissional_menu                               |     objeto-perfil-profissional                        |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_objeto = 14 cd_profissional = 2 cd_menu = 323 
2              |     2012-01-12 10:22:09      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-12 14:13:14      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-12 15:19:46      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-12 15:20:23      |     8              |     s_documento_origem                                |     documento-origem                                  |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_documento_origem = 1
2              |     2012-01-13 08:04:06      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-13 09:41:04      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-13 09:41:44      |     8              |     a_profissional_conhecimento                       |     conhecimento-profissional                         |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 2 cd_tipo_conhecimento = 3 cd_conhecimento = 77 
2              |     2012-01-13 09:41:57      |     8              |     a_profissional_conhecimento                       |     conhecimento-profissional                         |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 2 cd_tipo_conhecimento = 2 cd_conhecimento = 75 
2              |     2012-01-13 09:42:11      |     8              |     a_profissional_conhecimento                       |     conhecimento-profissional                         |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_profissional = 2 cd_tipo_conhecimento = 15 cd_conhecimento = 59 
2              |     2012-01-13 11:00:11      |     8              |     s_solicitacao                                     |     solicitacao                                       |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: ni_solicitacao = 1 ni_ano_solicitacao = 2012 cd_objeto = 14 
2              |     2012-01-13 12:30:38      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-13 14:28:16      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-13 15:52:51      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
               |     2012-01-13 16:07:33      |     8              |     s_usuario_pedido                                  |     N&atilde;o passou por controller                  |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_usuario_pedido = 3
               |     2012-01-13 16:15:55      |     8              |     s_historico_pedido                                |     pedido-solicitacao                                |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_historico_pedido = 30
               |     2012-01-13 16:15:55      |     9              |     s_solicitacao_pedido                              |     pedido-solicitacao                                |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "s_solicitacao_pedido"."cd_solicitacao_pedido" = 6
2              |     2012-01-13 16:16:38      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-13 16:18:00      |     8              |     s_historico_pedido                                |     pedido-valida                                     |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_historico_pedido = 31
2              |     2012-01-13 16:18:00      |     9              |     s_solicitacao_pedido                              |     pedido-valida                                     |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "s_solicitacao_pedido"."cd_solicitacao_pedido" = 6
2              |     2012-01-13 16:22:08      |     8              |     s_historico_pedido                                |     pedido-decisao-encaminhada-comite                 |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_historico_pedido = 32
2              |     2012-01-13 16:22:08      |     9              |     s_solicitacao_pedido                              |     pedido-decisao-encaminhada-comite                 |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: "s_solicitacao_pedido"."cd_solicitacao_pedido" = 1
2              |     2012-01-16 08:58:14      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-16 10:48:01      |     6              |     Sem tabela                                        |     auth                                              |     127.0.0.1                                          |     localhost                                          |     Acesso ao sistema
2              |     2012-01-16 10:59:43      |     8              |     s_solicitacao                                     |     autorizacao-parcela                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: ni_solicitacao = 2 ni_ano_solicitacao = 2012 cd_objeto = 14 
2              |     2012-01-16 10:59:43      |     8              |     s_processamento_parcela                           |     autorizacao-parcela                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: cd_processamento_parcela = 1269 cd_proposta = 1 cd_projeto = 267 cd_parcela = 1659 
2              |     2012-01-16 10:59:44      |     9              |     s_parcela                                         |     autorizacao-parcela                               |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 267 and cd_proposta = 1 and cd_parcela = 1659
2              |     2012-01-16 11:00:00      |     9              |     s_solicitacao                                     |     gerenciar-projetos-solicitacao                    |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_objeto = 14 and ni_solicitacao = 2 and ni_ano_solicitacao = 2012
2              |     2012-01-16 11:00:24      |     9              |     s_processamento_parcela                           |     processamento-parcela                             |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_projeto = 267 and cd_proposta = 1 and cd_parcela = 1659 and st_ativo = 'S'
2              |     2012-01-16 11:00:24      |     9              |     s_solicitacao                                     |     processamento-parcela                             |     127.0.0.1                                          |     localhost                                          |     Alteração de Registro: cd_objeto = 14 and ni_solicitacao = 2 and ni_ano_solicitacao = 2012
2              |     2012-01-16 11:03:40      |     8              |     s_analise_risco                                   |     gerenciamento-risco                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: dt_analise_risco = 2012-01-16 11:03:39 cd_projeto = 269 cd_proposta = 1 cd_etapa = 16 cd_atividade = 53 cd_item_risco = 8 
2              |     2012-01-16 11:03:40      |     8              |     a_questionario_analise_risco                      |     gerenciamento-risco                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: dt_analise_risco = to_timestamp('2012-01-16 11:03:39', 'YYYY-MM-DD HH24:MI:SS') cd_projeto = 269 cd_proposta = 1 cd_etapa = 16 cd_atividade = 53 cd_item_risco = 8 cd_questao_analise_risco = 27 
2              |     2012-01-16 11:03:40      |     8              |     a_questionario_analise_risco                      |     gerenciamento-risco                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: dt_analise_risco = to_timestamp('2012-01-16 11:03:39', 'YYYY-MM-DD HH24:MI:SS') cd_projeto = 269 cd_proposta = 1 cd_etapa = 16 cd_atividade = 53 cd_item_risco = 8 cd_questao_analise_risco = 28 
2              |     2012-01-16 11:03:40      |     8              |     a_questionario_analise_risco                      |     gerenciamento-risco                               |     127.0.0.1                                          |     localhost                                          |     Inclusão de Registro: dt_analise_risco = to_timestamp('2012-01-16 11:03:39', 'YYYY-MM-DD HH24:MI:SS') cd_projeto = 269 cd_proposta = 1 cd_etapa = 16 cd_atividade = 53 cd_item_risco = 8 cd_questao_analise_risco = 26 
